seed_candidate_id,originating_seed_stage,original_candidate_id,source_page,anchor_id,surface_form,layer_code,voice_code,source_id,expression_mode_code,original_decision,confidence_label,relevance_label,reconstruction_status,reconciliation_status,originating_report,provenance_status,provenance_note
FT-SEED-R1-1842-A-01,INITIAL_180,1842-A-01,4,FT-A1842,temperature,A,NOT_ANNOTATED_IN_SOURCE,"E1842-1,2",NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-02,INITIAL_180,1842-A-02,4,FT-A1842,mean temperature,A,NOT_ANNOTATED_IN_SOURCE,"E1842-1,2",NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-03,INITIAL_180,1842-A-03,4,FT-A1842,high temperature,A,NOT_ANNOTATED_IN_SOURCE,E1842-2,NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-04,INITIAL_180,1842-A-04,4,FT-A1842,heat,A,NOT_ANNOTATED_IN_SOURCE,"E1842-3,4",NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-05,INITIAL_180,1842-A-05,4,FT-A1842,great heat,A,NOT_ANNOTATED_IN_SOURCE,E1842-4,NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Weak;CARRY_FORWARD=No,Weak,No,RECONSTRUCTED_FROM_REPORT,EXCLUDE,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-06,INITIAL_180,1842-A-06,4,FT-A1842,oppressive heat,A,NOT_ANNOTATED_IN_SOURCE,E1842-1–4,NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Weak;CARRY_FORWARD=Conditional,Weak,Conditional,RECONSTRUCTED_FROM_REPORT,UNRESOLVED,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-07,INITIAL_180,1842-A-07,5,FT-A1842,unusual heat,A,NOT_ANNOTATED_IN_SOURCE,E1842-1–4,NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Weak;CARRY_FORWARD=No,Weak,No,RECONSTRUCTED_FROM_REPORT,EXCLUDE,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-A-08,INITIAL_180,1842-A-08,5,FT-A1842,too hot and close,A,NOT_ANNOTATED_IN_SOURCE,E1842-3,NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-B-01,INITIAL_180,1842-B-01,5,FT-A1842,climate,B,NOT_ANNOTATED_IN_SOURCE,"E1842-1,5",NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
FT-SEED-R1-1842-B-02,INITIAL_180,1842-B-02,5,FT-A1842,meteorology,B,NOT_ANNOTATED_IN_SOURCE,E1842-1,NOT_ANNOTATED_IN_SOURCE,CONFIDENCE=Strong;CARRY_FORWARD=Yes,Strong,Yes,RECONSTRUCTED_FROM_REPORT,RETAIN,Fear of Temperature_ Historical Lexical Discovery and Anchor Validation.pdf,RECONSTRUCTED_FROM_REPORT,Original candidate ID and row fields reconstructed from the compact narrative PDF table; this is not the missing original structured record.
