source_id,source_genre_code,canonical_name,provenance_status,provenance_note
S0607-CCNI,CIVIC,S0607-CCNI,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S0607-GALLUP,SURVEY,Gallup environmental worry survey material,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S0607-IPCC,SCIENTIFIC,S0607-IPCC,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S0607-STERN,INSTITUTIONAL,S0607-STERN,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S0607-TIME,MEDIA,"TIME, Be Worried. Be Very Worried.",RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S0607-YALE-JUL,SURVEY,S0607-YALE-JUL,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S0607-YALE-MAR,SURVEY,S0607-YALE-MAR,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-CHADWICK,INSTITUTIONAL,Chadwick sanitary inquiry and embedded testimony,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-DICKENS,DIRECT_PUBLIC,S1842-DICKENS,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-LEICHHARDT-L,SCIENTIFIC,S1842-LEICHHARDT-L,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-LEICHHARDT-N,SCIENTIFIC,S1842-LEICHHARDT-N,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-ROSS,SCIENTIFIC,S1842-ROSS,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-RS-COLABA,SCIENTIFIC,S1842-RS-COLABA,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1842-TIMES,MEDIA,S1842-TIMES,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1938-CALLENDAR,SCIENTIFIC,Callendar 1938 scientific article,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1938-COURIER,MEDIA,S1938-COURIER,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1938-SHI-RECEPTION,SCIENTIFIC,S1938-SHI-RECEPTION,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1938-TORCH,MEDIA,S1938-TORCH,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1938-WIRED-CALLENDAR,MEDIA,S1938-WIRED-CALLENDAR,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1988-EVENINGSTANDARD,MEDIA,S1988-EVENINGSTANDARD,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1988-HANSEN,SCIENTIFIC,Hansen 1988 scientific work/testimony,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1988-NYT,MEDIA,S1988-NYT,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S1988-TORONTO,INSTITUTIONAL,Toronto Conference on the Changing Atmosphere,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2015-COPPROTEST,CIVIC,S2015-COPPROTEST,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2015-PARIS,INSTITUTIONAL,Paris Agreement,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2015-PEW,SURVEY,S2015-PEW,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2015-YALE,SURVEY,S2015-YALE,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-ANU,SCIENTIFIC,S2022-ANU,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-IPCC,SCIENTIFIC,IPCC Working Group II assessment,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-NATURE,SCIENTIFIC,Nature Climate Change climate-anxiety article,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-REHLING,SCIENTIFIC,Rehling eco-anxiety qualitative study,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-XR,CIVIC,S2022-XR,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-YALE-INT,SURVEY,S2022-YALE-INT,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
S2022-YALE-US,SURVEY,S2022-YALE-US,RECONSTRUCTED_FROM_REPORT,Compact later-stage report source identifier; complete standalone source registry was unavailable.
