relation_id,source_candidate_id,target_candidate_id,relation_type,relation_class,anchor_relation,evidence_basis,confidence,provenance_note
FT-REL-131A470C97D04B,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-2015-01,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-C47421D93C9DAE,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-2022-01,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-FD8432EBC59863,FT-SEED-R1B-P-1842-02,FT-SEED-R1B-P-1938-10,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-C22B2F5488B88B,FT-SEED-R1B-P-1938-21,FT-SEED-R1B-P-1988-08,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-DD3F663840AE99,FT-SEED-R1B-P-1938-28,FT-SEED-R1B-P-1988-09,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-101F0657CE9A91,FT-SEED-R1B-P-1988-02,FT-SEED-R1B-P-0607-11,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-A9E2C72CB4A615,FT-SEED-R1B-P-1988-02,FT-SEED-R1B-P-2022-02,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-5720E0A88D24C6,FT-SEED-R1B-P-2015-25,FT-SEED-R1B-P-2022-03,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-C7B5B8577991F0,FT-SEED-R1B-P-2015-26,FT-SEED-R1B-P-2022-04,RECURS_ACROSS_ANCHORS,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Same normalized lexical form at multiple anchors,HIGH,"Recurrence is structural presence in the constructed inventory, not proof of stable sense."
FT-REL-E6822684F59567,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-0607-14,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
